State,Order,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,oneyear,fiveyear
Maine,1,5601,6065,6616,7334,8078,8544,8945,9366,9363,9391,9422.234755,0.003326031,0.102789648
Montana,2,4468,4918,5258,5302,5336,5485,5612,5881,6155,6225.349928,6279.119532,0.008637202,0.144780225
Missouri,3,5934,6271,6526,6845,7228,7215,7271,7685,7945,8093,8383.438099,0.035887569,0.161945683
Maryland,4,6770,7137,7216,7314,7392,7476,7737,7961,8210,8479.6795,8723.776005,0.028786053,0.166904228
New Jersey,5,7979,8601,9331,9974,10748,11133,11649,12030,12417,12722.72933,13002.49308,0.021989287,0.167923568
Iowa,6,5407,5619,5900,6218,6433,6712,7155,7562,7831,7837.490921,7857.140394,0.002507113,0.170610905
Indiana,7,5847,6155,6555,6875,7222,7643,7988,8343,8715,8925.516284,9022.791091,0.010898508,0.180530039
Massachusetts,8,7034,7335,7583,7887,8239,9239,9488,10165,10649,10747.83777,10950.97496,0.018900285,0.18529873
North Dakota,9,4606,5074,5512,5803,6107,6335,6569,6861,7006,7273.653115,7513.292911,0.032946278,0.185997302
Ohio,10,8236.110715,8340.20716,8444.303604,8462,8474,8505,9056,9448,9768,9941.558659,10099.8209,0.015919258,0.187515685
Nebraska,11,4720,5302,5229,5581,5956,6234,6600,6906,7184,7315,7404.230324,0.012198267,0.187717408
Minnesota,12,6463,6944,7518,7798,8317,8788,9387,10018,10361,10464.32445,10527.10577,0.005999558,0.197895513
Vermont,13,8783,9248,9783,10485,11341,12016,12474,13095,13525,13964.51942,14419.18649,0.032558734,0.199998876
South Carolina,14,6611,7385,7913,8371,9132,9520,10063,10356,10744,11165.60741,11449.30915,0.025408537,0.202658524
Texas,15,5075,5385,5985,6450,6919,7328,7744,8053,8344,8520.52733,8829.654897,0.036280333,0.204920155
Michigan,16,6294,7097,7673,8499,9130,9761,10135,10841,11193,11600,11908.90941,0.026630121,0.220050139
Wisconsin,17,5218,5626,6042,6413,6796,7169,7711,8197,8690,8741.457221,8781.05172,0.004529508,0.224864238
Illinois,18,6494,6914,8058,9099,10021,10410,10969,11630,12168,12580.43193,12769.51805,0.015030177,0.226658795
Pennsylvania,19,8249,8643,9051,9792,10353,10764,11331,12085,12377,12802,13245.86355,0.034671423,0.23057075
Wyoming,20,3243,3429,3515,3554,3621,3726,3927,4125,4278,4404,4646,0.054950045,0.24691358
Alaska,21,3435,3793,4194,4425,4678,4922,5261,5455,5785,5885.017809,6138.090175,0.043002821,0.247072364
Connecticut,22,6336,6754,7135,7574,8038,8456,8977,9217,9635,10231.56867,10619.639,0.037928722,0.255870269
Arkansas,23,4581,4980,5314,5599,5914,5980,6304,6654,6995,7251.480439,7566.860968,0.043491882,0.265361366
South Dakota,24,4348,4593,4969,5343,5698,6031,6318,6793,7388,7643.801679,7652.966009,0.001198923,0.268938154
Delaware,25,6629,7050,7403,7808,8291,9012,9623,10438,10908,11258.74085,11447.65007,0.016778893,0.270267429
New York,26,4948,5006,5041,5076,5121,5740,5793,6204,6562,6926.319126,7292.310225,0.052840635,0.270437321
Oklahoma,27,3535,3798,4432,4993,5641,5421,5750,6071,6403,6583,6894.648893,0.047341469,0.271840785
Kansas,28,4242,4699,5213,5746,6010,6312,6627,6920,7280,7729,8085.525053,0.046128225,0.280976719
Rhode Island,29,5933,6439,6787,7221,7727,8503,9319,10014,10921,10895.59578,10933.64062,0.003491763,0.285856829
Kentucky,30,4476,5029,5764,6279,6809,7116,7519,7974,8462,8700.512294,9188.490782,0.056086179,0.291243786
Oregon,31,5221,5430,5576,5946,6239,6906,7434,7994,8312,8600.266762,8931.652694,0.038532053,0.293317795
New Mexico,32,3909,4247,4056,4248,4520,4786,5128,5435,5678,5960.363904,6190.414013,0.038596655,0.293442125
New Hampshire,33,8085,8584,9127,9698,10293,11075,11946,13502,14615,14651.60336,14712.28344,0.004141532,0.328422884
West Virginia,34,3631,3871,4166,4406,4707,4980,5226,5536,5885,6252.931355,6661.46535,0.065334796,0.337643645
Utah,35,3274,3583,3816,4059,4275,4573,4916,5300,5612,5913.889946,6177.046466,0.044498041,0.350764589
Idaho,36,3591,3922,4156,4382,4612,4886,5330,5682,5989,6325.297745,6602.039414,0.043751564,0.351215599
Virginia,37,5579,6023,6556,7008,7581,7936,8809,9535,9901,10366,10898.94543,0.051412834,0.373355019
Mississippi,38,3991,4184,4450,4757,4947,4952,5294,5673,6159,6564.961829,6861.046524,0.045100749,0.385510203
D.C.,39,2520,2520,3210,3770,3770,5370,7000,7000,7244,7255,7516.018018,0.035977673,0.399630916
California,40,4195,4526,4549,4951,5436,6550,7485,8933,8986,9077.637292,9172.658376,0.010467601,0.400405859
Tennessee,41,4306,4763,4973,5365,5686,6098,6522,7170,7676,8036,8540.51683,0.062782084,0.400543921
Nevada,42,2874,3019,3645,3948,4397,4543,5318,6043,6390,6387,6417.628016,0.004795368,0.41264099
Alabama,43,4510,4782,4906,5244,5968,6487,7373,8001,8734,9160.576993,9469.898143,0.033766557,0.459827061
Hawaii,44,3386,3491,4227,5017,5823,6638,7458,8368,8613,9073.131437,9740.138868,0.073514578,0.467330351
North Carolina,45,3566,3655,4067,4306,4391,4539,5323,5689,6201,6516.133482,6677.310247,0.024735031,0.471097212
Florida,46,3054,3213,3315,3386,3825,4316,5034,5624,6235,6314.928742,6350.969887,0.005707292,0.471494413
Washington,47,4914,5252,5670,5986,6433,7321,8197,9494,10595,10811,10845.58181,0.003198761,0.481434477
Colorado,48,3733,4427,4772,5435,5792,6270,7078,7872,8441,9096,9487.084583,0.042995227,0.51309164
Arizona,49,4078,4434,4674,4959,5584,6554,8075,9435,9728,10077.98347,10397.58034,0.031712383,0.586448023
Georgia,50,3411,3678,3909,4181,4453,5008,5872,7298,7539,7823,8094.099418,0.03465415,0.616233909
Louisiana,51,3534,3695,3770,3830,4073,4282,4733,5246,5875,6605.407886,7313.746384,0.107236148,0.708021108
